start 1.010729222  a_max 4.452231
round 1: 1.008188719  a_max 4.463450  *
round 2: 1.008172781  a_max 4.463521  *
round 3: 1.008120459  a_max 4.463752  *
round 5: 1.008958888  (best 1.008120459 a_max 4.463752)
round 12: 1.008531054  (best 1.008120459 a_max 4.463752)
round 13: 1.008740402  (best 1.008120459 a_max 4.463752)
round 16: 1.009076433  (best 1.008120459 a_max 4.463752)
round 17: 1.009152279  (best 1.008120459 a_max 4.463752)
round 18: 1.009074700  (best 1.008120459 a_max 4.463752)
round 19: 1.008248581  (best 1.008120459 a_max 4.463752)
round 21: 1.008785239  (best 1.008120459 a_max 4.463752)
round 22: 1.008201528  (best 1.008120459 a_max 4.463752)
round 23: 1.009034736  (best 1.008120459 a_max 4.463752)
