n,sigma,ratio_lo,ratio_hi,factorization
10080,39312,0.985818611972,0.985818611972,2^5 * 3^2 * 5 * 7
55440,232128,0.983253963847,0.983253963847,2^4 * 3^2 * 5 * 7 * 11
27720,112320,0.978363769049,0.978363769049,2^3 * 3^2 * 5 * 7 * 11
15120,59520,0.976130255417,0.976130255417,2^4 * 3^3 * 5 * 7
110880,471744,0.974047429391,0.974047429391,2^5 * 3^2 * 5 * 7 * 11
720720,3249792,0.973045979901,0.973045979901,2^4 * 3^2 * 5 * 7 * 11 * 13
1441440,6604416,0.970056126931,0.970056126931,2^5 * 3^2 * 5 * 7 * 11 * 13
166320,714240,0.969600519947,0.969600519947,2^4 * 3^3 * 5 * 7 * 11
2162160,9999360,0.968837769367,0.968837769367,2^4 * 3^3 * 5 * 7 * 11 * 13
367567200,1889879040,0.968152104902,0.968152104902,2^5 * 3^3 * 5^2 * 7 * 11 * 13 * 17
4324320,20321280,0.967701617550,0.967701617550,2^5 * 3^3 * 5 * 7 * 11 * 13
735134400,3809756160,0.964660898784,0.964660898784,2^6 * 3^3 * 5^2 * 7 * 11 * 13 * 17
21621600,104993280,0.964531211517,0.964531211517,2^5 * 3^3 * 5^2 * 7 * 11 * 13
65520,270816,0.964525071410,0.964525071410,2^4 * 3^2 * 5 * 7 * 13
73513440,365783040,0.964455969380,0.964455969380,2^5 * 3^3 * 5 * 7 * 11 * 13 * 17
183783600,929940480,0.964355756956,0.964355756956,2^4 * 3^3 * 5^2 * 7 * 11 * 13 * 17
3603600,16790592,0.963726795566,0.963726795566,2^4 * 3^2 * 5^2 * 7 * 11 * 13
332640,1451520,0.963518921537,0.963518921537,2^5 * 3^3 * 5 * 7 * 11
10810800,51663360,0.963505621933,0.963505621933,2^4 * 3^3 * 5^2 * 7 * 11 * 13
7207200,34122816,0.963340475103,0.963340475103,2^5 * 3^2 * 5^2 * 7 * 11 * 13
122522400,614210688,0.962448490725,0.962448490725,2^5 * 3^2 * 5^2 * 7 * 11 * 13 * 17
30240,120960,0.962315552181,0.962315552181,2^5 * 3^3 * 5 * 7
20160,79248,0.962235222909,0.962235222909,2^6 * 3^2 * 5 * 7
36756720,179988480,0.962107344024,0.962107344024,2^4 * 3^3 * 5 * 7 * 11 * 13 * 17
25200,99944,0.961489279775,0.961489279775,2^4 * 3^2 * 5^2 * 7
83160,345600,0.961280201641,0.961280201641,2^3 * 3^3 * 5 * 7 * 11
360360,1572480,0.961146830895,0.961146830895,2^3 * 3^2 * 5 * 7 * 11 * 13
24504480,118879488,0.961105607651,0.961105607651,2^5 * 3^2 * 5 * 7 * 11 * 13 * 17
277200,1199328,0.960794035404,0.960794035404,2^4 * 3^2 * 5^2 * 7 * 11
410810400,2099865600,0.960678518438,0.960678518438,2^5 * 3^3 * 5^2 * 7 * 11 * 13 * 19
698377680,3599769600,0.960264673376,0.960264673376,2^4 * 3^3 * 5 * 7 * 11 * 13 * 17 * 19
12252240,58496256,0.959937799926,0.959937799926,2^4 * 3^2 * 5 * 7 * 11 * 13 * 17
12600,48360,0.959835005930,0.959835005930,2^3 * 3^2 * 5^2 * 7
8648640,40965120,0.959764914552,0.959764914552,2^6 * 3^3 * 5 * 7 * 11 * 13
147026880,737372160,0.959668566100,0.959668566100,2^6 * 3^3 * 5 * 7 * 11 * 13 * 17
61261200,302230656,0.959617318606,0.959617318606,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 17
32760,131040,0.959139313247,0.959139313247,2^3 * 3^2 * 5 * 7 * 13
221760,950976,0.959111050544,0.959111050544,2^6 * 3^2 * 5 * 7 * 11
43243200,211653120,0.958546963821,0.958546963821,2^6 * 3^3 * 5^2 * 7 * 11 * 13
245044800,1238170752,0.958114809683,0.958114809683,2^6 * 3^2 * 5^2 * 7 * 11 * 13 * 17
